State,State Code,Cause of death,Cause of death Code,Deaths,Population,Crude Rate
Alabama,1,Enterocolitis due to Clostridium difficile,A04.7,98,4874747,2
Alabama,1,Other and unspecified gastroenteritis and colitis of infectious origin,A09.0,12,4874747,Unreliable
Alabama,1,Gastroenteritis and colitis of unspecified origin,A09.9,40,4874747,0.8
Alabama,1,Septicaemia due to Staphylococcus aureus,A41.0,19,4874747,Unreliable
Alabama,1,Septicaemia due to other Gram-negative organisms,A41.5,14,4874747,Unreliable
Alabama,1,"Septicaemia, unspecified",A41.9,988,4874747,20.3
Alabama,1,"Bacterial infection, unspecified",A49.9,25,4874747,0.5
Alabama,1,Chronic viral hepatitis C,B18.2,58,4874747,1.2
Alabama,1,HIV disease resulting in multiple infections,B20.7,11,4874747,Unreliable
Alabama,1,HIV disease resulting in other specified conditions,B23.8,16,4874747,Unreliable
Alabama,1,Unspecified human immunodeficiency virus [HIV] disease,B24,20,4874747,0.4
Alabama,1,Unspecified mycosis,B49,10,4874747,Unreliable
Alabama,1,Sequelae of other specified infectious and parasitic diseases,B94.8,14,4874747,Unreliable
Alabama,1,"Tongue, unspecified - Malignant neoplasms",C02.9,33,4874747,0.7
Alabama,1,"Mouth, unspecified - Malignant neoplasms",C06.9,18,4874747,Unreliable
Alabama,1,Malignant neoplasm of parotid gland,C07,19,4874747,Unreliable
Alabama,1,"Tonsil, unspecified - Malignant neoplasms",C09.9,12,4874747,Unreliable
Alabama,1,"Oropharynx, unspecified - Malignant neoplasms",C10.9,12,4874747,Unreliable
Alabama,1,"Pharynx, unspecified - Malignant neoplasms",C14.0,55,4874747,1.1
Alabama,1,"Oesophagus, unspecified - Malignant neoplasms",C15.9,244,4874747,5
Alabama,1,"Stomach, unspecified - Malignant neoplasms",C16.9,166,4874747,3.4
Alabama,1,"Small intestine, unspecified - Malignant neoplasms",C17.9,10,4874747,Unreliable
Alabama,1,Caecum - Malignant neoplasms,C18.0,15,4874747,Unreliable
Alabama,1,Appendix - Malignant neoplasms,C18.1,10,4874747,Unreliable
Alabama,1,Sigmoid colon - Malignant neoplasms,C18.7,13,4874747,Unreliable
Alabama,1,"Colon, unspecified - Malignant neoplasms",C18.9,737,4874747,15.1
Alabama,1,Malignant neoplasm of rectosigmoid junction,C19,58,4874747,1.2
Alabama,1,Malignant neoplasm of rectum,C20,100,4874747,2.1
Alabama,1,"Anus, unspecified - Malignant neoplasms",C21.0,15,4874747,Unreliable
Alabama,1,Liver cell carcinoma - Malignant neoplasms,C22.0,123,4874747,2.5
Alabama,1,Intrahepatic bile duct carcinoma - Malignant neoplasms,C22.1,73,4874747,1.5
Alabama,1,"Liver, unspecified - Malignant neoplasms",C22.9,231,4874747,4.7
Alabama,1,Malignant neoplasm of gallbladder,C23,35,4874747,0.7
Alabama,1,Extrahepatic bile duct - Malignant neoplasms,C24.0,17,4874747,Unreliable
Alabama,1,Head of pancreas - Malignant neoplasms,C25.0,14,4874747,Unreliable
Alabama,1,"Pancreas, unspecified - Malignant neoplasms",C25.9,685,4874747,14.1
Alabama,1,Ill-defined sites within the digestive system - Malignant neoplasms,C26.9,26,4874747,0.5
Alabama,1,"Larynx, unspecified - Malignant neoplasms",C32.9,67,4874747,1.4
Alabama,1,Main bronchus - Malignant neoplasms,C34.0,11,4874747,Unreliable
Alabama,1,"Upper lobe, bronchus or lung - Malignant neoplasms",C34.1,55,4874747,1.1
Alabama,1,"Lower lobe, bronchus or lung - Malignant neoplasms",C34.3,25,4874747,0.5
Alabama,1,"Bronchus or lung, unspecified - Malignant neoplasms",C34.9,2854,4874747,58.5
Alabama,1,"Bone and articular cartilage, unspecified - Malignant neoplasms",C41.9,35,4874747,0.7
Alabama,1,"Malignant melanoma of skin, unspecified - Malignant neoplasms",C43.9,125,4874747,2.6
Alabama,1,Skin of scalp and neck - Malignant neoplasms,C44.4,12,4874747,Unreliable
Alabama,1,"Malignant neoplasm of skin, unspecified - Malignant neoplasms",C44.9,33,4874747,0.7
Alabama,1,"Mesothelioma, unspecified - Malignant neoplasms",C45.9,37,4874747,0.8
Alabama,1,"Peritoneum, unspecified - Malignant neoplasms",C48.2,12,4874747,Unreliable
Alabama,1,"Connective and soft tissue, unspecified - Malignant neoplasms",C49.9,52,4874747,1.1
Alabama,1,"Breast, unspecified - Malignant neoplasms",C50.9,694,4874747,14.2
Alabama,1,"Vulva, unspecified - Malignant neoplasms",C51.9,21,4874747,0.4
Alabama,1,Malignant neoplasm of vagina,C52,12,4874747,Unreliable
Alabama,1,"Cervix uteri, unspecified - Malignant neoplasms",C53.9,88,4874747,1.8
Alabama,1,Endometrium - Malignant neoplasms,C54.1,74,4874747,1.5
Alabama,1,"Malignant neoplasm of uterus, part unspecified",C55,46,4874747,0.9
Alabama,1,Malignant neoplasm of ovary,C56,233,4874747,4.8
Alabama,1,Malignant neoplasm of prostate,C61,464,4874747,9.5
Alabama,1,"Malignant neoplasm of kidney, except renal pelvis",C64,238,4874747,4.9
